POB11,POB14,POB21,POB23,DISC1,DISC7,DISC8,DISC9,DISC10,DISC11,DISC12,DISC13
10.0,13.0,27.0,5.0,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0
7.0,3.0,16.0,3.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,19.0,56.0,6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,-6.0,7.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
11.0,14.0,30.0,6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,-6.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
12.0,-6.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
8.0,12.0,30.0,8.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0
8.0,9.0,23.0,4.0,6.0,-6.0,3.0,0.0,-6.0,0.0,-6.0,-6.0
8.0,9.0,21.0,5.0,3.0,-6.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0
10.0,5.0,27.0,7.0,7.0,-6.0,6.0,0.0,-6.0,-6.0,-6.0,-6.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
13.0,17.0,47.0,12.0,7.0,5.0,3.0,-6.0,-6.0,-6.0,0.0,-6.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
5.0,3.0,14.0,4.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
3.0,8.0,21.0,5.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0
